Name,longitude,latitude,TransportMode,StopPlaceType
BARBANCHE PLAT.,815936.8512506031,6477724.698927592,bus,,FR:Quay:134:,any,
MIZERIECQ,784524.5102489016,6477636.273619229,bus,,FR:Quay:2529:,any,
MIZERIECQ,784469.0062569969,6477688.698220942,bus,,FR:Quay:2530:,any,
CHATEAU LE BOIS,792151.2507873187,6477711.3275937,bus,,FR:Quay:2531:,any,
CHATEAU LE BOIS,792192.6609377849,6477763.927654741,bus,,FR:Quay:2532:,any,
SAINT-PAUL,795919.3872088902,6478362.66847832,bus,,FR:Quay:135:,any,
SAINT-PAUL,796047.7600941482,6478302.629957915,bus,,FR:Quay:136:,any,
MAPAD,796145.7324710904,6478309.789499738,bus,,FR:Quay:137:,any,
NEUF PONTS,796467.3128212292,6478177.171842547,bus,,FR:Quay:138:,any,
NEUF PONTS,796602.2321070387,6478182.018926574,bus,,FR:Quay:139:,any,
MAIRIE ST-PAUL,797136.5439001949,6478275.385915435,bus,,FR:Quay:140:,any,
CROIX DU POIRIER,797336.9606199603,6478345.616232023,bus,,FR:Quay:2437:,any,
CROIX DU POIRIER,797335.8936184712,6478337.632532958,bus,,FR:Quay:2438:,any,
CASE AU BOIS,797805.6996634066,6478129.8205890125,bus,,FR:Quay:141:,any,
CASE AU BOIS,797810.8222525488,6478144.763474658,bus,,FR:Quay:142:,any,
LA RIVE,798434.2465094903,6478378.244629308,bus,,FR:Quay:143:,any,
LA RIVE,798427.1683536302,6478368.3138768105,bus,,FR:Quay:144:,any,
GARE FRAISSES,798734.5458859483,6478092.945599254,bus,,FR:Quay:145:,any,
GARE FRAISSES,798654.1348167178,6478153.575455328,bus,,FR:Quay:146:,any,
PASTEUR,798896.8373835271,6478379.304975276,bus,,FR:Quay:147:,any,
PASTEUR,798912.770783572,6478373.174853169,bus,,FR:Quay:148:,any,
PARC HOLTZER,799363.5194303322,6477921.744817974,bus,,FR:Quay:149:,any,
PARC HOLTZER,799333.7101833365,6477940.981258372,bus,,FR:Quay:150:,any,
LE VIGNERON,799104.4143645171,6478116.774782863,bus,,FR:Quay:151:,any,
LE VIGNERON,799121.1258229408,6478084.661504894,bus,,FR:Quay:152:,any,
COMBE BLANCHE,799937.3078005821,6477957.826305919,bus,,FR:Quay:153:,any,
COMBE BLANCHE,799933.396696542,6477967.850546573,bus,,FR:Quay:154:,any,
LE SABLAT,800145.4363234948,6477995.020377776,bus,,FR:Quay:155:,any,
LE SABLAT,800133.3035452972,6477978.138954387,bus,,FR:Quay:156:,any,
L'ECHAPRE,801452.759537968,6477936.9396868525,bus,,FR:Quay:160:,any,
