Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00699-1;699;87696427;Dompierre Sept Fons;3290;102;Dompierre-sur-Besbre;3;Allier;3.6749309;46.5263166;GARES C AUVERGNE;Dompierre Sept Fons;DOMPIERRE SEPT FONS GARE;DOP;46.5263166, 3.6749309
00705-1;705;87696310;Villeneuve-sur-Allier;3460;316;Villeneuve-sur-Allier;3;Allier;3.2469557;46.6592073;GARES C AUVERGNE;Villeneuve-sur-Allier;VILLENEUVE SUR ALLIER GARE;VVR;46.6592073, 3.2469557
00707-1;707;87696294;Saint-Pierre-le-Moûtier;58240;264;Saint-Pierre-le-Moûtier;58;Nièvre;3.1117427;46.7932373;GARES C BOURGOGNE;Saint-Pierre-le-Moûtier;SAINT PIERRE LE MOUTIER GARE;SPM;46.7932373, 3.1117427
00716-1;716;87696146;Cosne-Cours-sur-Loire;58200;86;Cosne-Cours-sur-Loire;58;Nièvre;2.931981;47.413996;GARES B BOURGOGNE;Cosne-Cours-sur-Loire;COSNE SUR LOIRE GARE;COS;47.413996, 2.931981
00718-1;718;87696005;Nevers;58000;194;Nevers;58;Nièvre;3.150743;46.987282;GARE NEVERS;Nevers;NEVERS GARE;NVS;46.987282, 3.150743
00896-1;896;87645507;Neussargues;15170;141;Neussargues en Pinatelle;15;Cantal;2.9791866;45.1253044;GARES C AUVERGNE;Neussargues;NEUSSARGUES GARE;NEU;45.1253044, 2.9791866
00914-1;914;87641415;Commentry;3600;82;Commentry;3;Allier;2.739949;46.295102;GARES B AUVERGNE;Commentry;COMMENTRY GARE;CMY;46.295102, 2.739949
00917-1;917;87641373;Les Trillers;3190;301;Vaux;3;Allier;2.6001018;46.4147461;GARES C AUVERGNE;Les Trillers;LES TRILLERS GARE;TIS;46.4147461, 2.6001018
00918-1;918;87641365;Magnette;3260;10;Audes;3;Allier;2.6028771;46.4641418;GARES C AUVERGNE;Magnette;MAGNETTE GARE;MGR;46.4641418, 2.6028771
00932-1;932;87641050;Louroux-de-Bouble;3330;152;Louroux-de-Bouble;3;Allier;2.9849368;46.2241289;GARES C AUVERGNE;Louroux-de-Bouble;LOUROUX DE BOUBLE GARE;LXB;46.2241289, 2.9849368
